#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes,Disponible de Remanentes por aplicación
2,11,91302,AMORTITZACIÓ PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,30147.0,0.0,30147.0,30146.56,0.0
2,11,31000,INTERESSOS PRESTECS DEL SECTOR PRIVAT I OP.TRESORERIA,60000.0,-21740.0,38260.0,37265.9,0.0
2,11,91100,AMORTITZ. PRESTECS A MIG I LLARG DEL S.PUB.,58360.0,0.0,58360.0,63089.2,0.0
2,221,16106,INDEMNITZACIONS,0.0,0.0,0.0,569.39,0.0
2,221,16204,ACCIÓ SOCIAL PERSONAL,24140.0,0.0,24140.0,28127.41,0.0
2,221,16000,SEGURETAT SOCIAL FORMACIÓ I ACCIÓ SOCIAL,10605.0,-10605.0,0.0,0.0,0.0
2,221,16200,FORMACIO I PERFECCIONAMENT PERSONAL,9000.0,0.0,9000.0,1492.05,0.0
2,920,22299,ALTRES DESPESES EN COMUNICACIONS,1500.0,459.49,1959.49,1484.55,0.0
2,920,22602,PUBLICITAT I PROPAGANDA,4000.0,0.0,4000.0,1948.16,0.0
2,920,23300,ALTRES INDEMNITZACIONS,1200.0,0.0,1200.0,0.0,0.0
2,920,12000,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A1,42117.0,-28000.0,14117.0,15349.99,0.0
2,920,23020,DIETES PERSONAL NO DIRECTIU,3500.0,0.0,3500.0,3213.93,0.0
2,920,21300,"REPARAC. MANTENIM. I CONSERV. MAQUINÀRIA, INSTAL·LAC. I UTIL",1500.0,0.0,1500.0,4767.79,0.0
2,920,22604,DESPESES JURIDIQUES,6000.0,5839.03,11839.03,7388.64,0.0
2,920,21900,MANTENIMENT PROGRAMES INFORMÀTICS,9000.0,0.0,9000.0,12718.65,0.0
2,920,12001,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A2,41987.0,0.0,41987.0,40450.93,0.0
2,920,12101,COMPLEMENT ESPECÍFIC,284905.0,0.0,284905.0,257225.3,0.0
2,920,62501,MOBILIARI I ESTRIS,10000.0,4166.71,14166.71,2588.9,3055.86
2,920,22001,"PREMSA, REVISTES, LLIBRES I ALTRES PUBLICACIONS",7500.0,0.0,7500.0,6246.96,0.0
2,920,16000,SEGURETAT SOCIAL PERSONAL SERVEIS GENERALS,180722.0,-37860.17,142861.83,151618.7,0.0
2,920,22002,MATERIAL INFORMÀTIC NO INVENTARIABLE,41620.0,19544.75,61164.75,21568.53,0.0
2,920,12004,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C2,43729.0,0.0,43729.0,49446.98,0.0
2,920,22706,TREBALLS TECNICS REALITZATS ALTRES EMPRESES,21000.0,8727.9,29727.9,15170.55,4000.0
2,920,22199,ALTRES SUBMINISTRAMENTS,0.0,267.83,267.83,274.18,0.0
2,920,15000,PRODUCTIVITAT,9000.0,0.0,9000.0,6521.67,0.0
2,920,12006,TRIENNIS,28631.0,0.0,28631.0,25166.89,0.0
2,920,22105,PRODUCTES ALIMENTARIS,0.0,0.0,0.0,120.12,0.0
2,920,22699,DESPESES DIVERSES,8000.0,140.84,8140.84,5514.0,0.0
2,920,22603,PUBLICACIÓ DIARIS OFICIALS,9000.0,0.0,9000.0,6108.42,0.0
2,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,76231.0,0.0,76231.0,76097.43,0.0
2,920,21600,MANTENIMENT EQUIPS INFORMÀTICS,4000.0,0.0,4000.0,2729.13,0.0
2,920,12003,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C1,42761.0,0.0,42761.0,43192.88,0.0
2,920,22200,SERVEIS DE TELECOMUNICACIONS,23000.0,513.9,23513.9,9533.55,190.44
2,920,64800,QUOTES ARRENDAMENT FINANCER FOTOCOPIADORES I ORDINADORS,16000.0,0.0,16000.0,12423.77,0.0
2,920,23120,LOCOMOCIÓ PERSONAL NO DIRECTIU,1500.0,0.0,1500.0,2170.98,0.0
2,920,15100,GRATIFICACIONS,4000.0,0.0,4000.0,600.0,0.0
2,920,21500,MANTENIMENT MOBILIARI I ESTRIS,5000.0,0.0,5000.0,4810.87,0.0
2,920,22400,PRIMES ASSEGURANCES,35000.0,0.0,35000.0,36370.18,0.0
2,920,12100,COMPLEMENT DE DESTINACIÓ,91532.0,0.0,91532.0,77199.06,0.0
2,920,22000,MATERIAL D'OFICINA,10000.0,3097.53,13097.53,9576.13,145.88
2,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,53353.0,0.0,53353.0,51744.25,0.0
2,920,22201,COMUNICACIONS POSTALS,8000.0,336.13,8336.13,7777.95,0.0
2,920,62601,EQUIPS PER A PROCESSOS D'INFORMACIO,3000.0,0.0,3000.0,3094.05,0.0
2,920,35800,INTERESSOS ARRENDAMENTS FINANCERS,2500.0,0.0,2500.0,860.61,0.0
2,932,22708,SERVEIS DE RECAPTACIÓ A FAVOR DE L'ENTITAT,140000.0,0.0,140000.0,121745.18,0.0
2,934,35900,ALTRES DESPESES FINANCERES,1000.0,0.0,1000.0,1083.62,0.0
2,934,31100,DESP. FORMALITZACIO MODIFICACIÓ I CANCEL.PRESTECS INTERIOR,1000.0,0.0,1000.0,0.0,0.0
2,934,34100,INTERESSOS DE FIANCES,0.0,0.0,0.0,50.66,0.0
2,934,35200,INTERESSOS DE DEMORA,2000.0,0.0,2000.0,0.0,0.0
2,942,46600,A ALTRES AGRUPACIONS DE MUNICIPIS,5000.0,0.0,5000.0,3813.18,0.0
3,130,16000,SEGURETAT SOCIAL PERSONAL SEGURETAT CIUTADANA,181423.0,-16500.0,164923.0,178430.59,0.0
3,130,22699,DESPESES DIVERSES,1000.0,0.0,1000.0,999.45,0.0
3,130,35800,INTERESSOS ARRENDAMENTS FINANCERS,782.0,0.0,782.0,705.23,0.0
3,130,21500,MANTENIMENT MOBILIARI I ESTRIS,300.0,43.78,343.78,1519.25,0.0
3,130,21400,MANTENIMENT VEHICLES,11362.0,212.96,11574.96,8567.66,212.96
3,130,22199,ALTRES SUBMINISTRAMENTS,1000.0,436.21,1436.21,1319.44,43.63
3,130,15000,PRODUCTIVITAT,10800.0,0.0,10800.0,9450.0,0.0
3,130,12100,COMPLEMENT DE DESTINACIÓ,85738.0,0.0,85738.0,83109.59,0.0
3,130,22200,SERVEIS DE TELECOMUNICACIONS,4800.0,265.56,5065.56,3208.8,115.06
3,130,22103,SUBMINISTRAMENT  COMBUSTIBLE,5000.0,235.35,5235.35,3675.47,0.0
3,130,22104,SUBMINISTRAMENT  VESTUARI,7000.0,-500.0,6500.0,6417.12,0.0
3,130,15100,GRATIFICACIONS,9000.0,18738.47,27738.47,29088.47,0.0
3,130,21300,"MANTENIMENT MAQUINARIA, INSTAL.LACIONS I UTILLATGE",1000.0,0.0,1000.0,509.94,0.0
3,130,12101,COMPLEMENT ESPECÍFIC,341347.0,0.0,341347.0,343605.72,0.0
3,130,12003,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C1,189150.0,0.0,189150.0,181713.43,0.0
3,130,62501,MOBILIARI I ESTRIS,4000.0,206.24,4206.24,3751.88,206.24
3,130,12006,TRIENNIS,20528.0,0.0,20528.0,20414.98,0.0
3,130,21900,REPARAC. MANTEN. ALTRE IMMOBILIZ.MATERIAL,2600.0,0.0,2600.0,2541.0,0.0
3,130,62601,EQUIPS PER A PROCESSOS D'INFORMACIO,1000.0,1000.0,2000.0,0.0,1000.0
3,130,12004,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C2,0.0,0.0,0.0,4696.32,0.0
3,130,20400,LLOGUER DE MATERIAL DE TRANSPORT,8000.0,-16.0,7984.0,9462.2,0.0
3,130,64800,QUOTES ARRENDAMENT FINANCER VEHICLES I EQUIPS DE TRANSMISSIÓ,22000.0,2406.29,24406.29,25146.19,906.29
3,135,22699,ALTRES DESPESES DIVERSES- PROTECCIO CIVIL-,3000.0,0.0,3000.0,0.0,0.0
4,135,22706,PLANS DE PROTECCIÓ CIVIL,8000.0,0.0,8000.0,0.0,0.0
4,150,22200,SERVEIS DE TELECOMUNICACIONS,2500.0,132.49,2632.49,825.22,81.88
4,150,15000,PRODUCTIVITAT,7200.0,1800.0,9000.0,6550.0,0.0
4,150,22199,ALTRES SUBMINISTRAMENTS,1000.0,0.0,1000.0,0.0,0.0
4,150,12003,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C1,21017.0,0.0,21017.0,20848.24,0.0
4,150,15100,GRATIFICACIONS,0.0,0.0,0.0,2156.58,0.0
4,150,12100,COMPLEMENT DE DESTINACIÓ,60751.0,0.0,60751.0,56692.66,0.0
4,150,12006,TRIENNIS,17300.0,0.0,17300.0,12898.99,0.0
4,150,12101,COMPLEMENT ESPECÍFIC,144021.0,0.0,144021.0,137300.41,0.0
4,150,48900,ALTRES TRANSFERÈNCIES,500.0,0.0,500.0,41.47,0.0
4,150,12001,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A2,13996.0,0.0,13996.0,13410.46,0.0
4,150,21900,REPARAC. MANTEN. ALTRE IMMOBILIZ.MATERIAL,0.0,1119.25,1119.25,2249.39,0.0
4,150,13100,REMUNERACIONS PERSONAL LABORAL TEMPORAL,27272.0,0.0,27272.0,26641.64,0.0
4,150,21400,MANTENIMENT VEHICLES,1500.0,0.0,1500.0,799.87,0.0
4,150,62501,MOBILIARI I ESTRIS,1000.0,0.0,1000.0,0.0,0.0
4,150,62601,EQUIPS PER A PROCESSOS D'INFORMACIO,1000.0,0.0,1000.0,406.27,0.0
4,150,16000,SEGURETAT SOCIAL PERSONAL URBANISME,134470.0,-1800.0,132670.0,124732.0,0.0
4,150,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,99699.0,0.0,99699.0,100295.46,0.0
4,150,12004,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C2,26237.0,0.0,26237.0,22942.2,0.0
4,150,22699,ALTRES DESPESES DIVERSES,1500.0,0.0,1500.0,480.08,0.0
4,150,12000,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A1,44512.0,0.0,44512.0,41116.83,0.0
4,150,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,50188.0,0.0,50188.0,47975.74,0.0
4,150,22706,"ESTUDIS, PROJECTES I ALTRES TREBALLS TÈCNICS URBANISME",23000.0,19662.5,42662.5,21538.0,605.0
4,150,22103,SUBMINISTRAMENT COMBUSTIBLE,2000.0,0.0,2000.0,161.61,0.0
4,151,60000,INVERSIONS EN TERRENYS,0.0,38217.76,38217.76,29158.58,38217.76
4,151,64000,REPARCEL.LACIÓ PLAÇA CENTRAL,0.0,0.0,0.0,0.0,0.0
4,336,61900,REURBANITZACIÓ PASSEIG ESGLÉSIA,0.0,3415.88,3415.88,1422.96,1992.92
5,151,22699,ALTRES DESPESES DIVERSES,0.0,71484.46,71484.46,33164.31,30981.27
5,165,63300,"MAQUINARIA, INSTAL.LACIONS I ESTRIS",11000.0,5200.0,16200.0,8898.92,0.0
5,171,61000,INVERSIONS PARCS,10000.0,0.0,10000.0,0.0,0.0
5,430,62601,EQUIPS PER A PROCESSOS D'INFORMACIO,0.0,0.0,0.0,314.24,0.0
5,430,62200,EDIFICIS I ALTRES CONSTRUCCIONS,0.0,27899.9,27899.9,3477.25,25347.65
5,430,62501,MOBILIARI I ESTRIS,0.0,14440.67,14440.67,1565.74,13146.67
5,1530,63300,"MAQUINARIA, INSTAL.LACIONS I ESTRIS",2000.0,16047.11,18047.11,37438.53,0.0
5,1530,61000,INVERSIONS EN VIA PÚBLICA,60000.0,846098.5,906098.5,64505.19,0.0
5,1532,61001,INVERSIONS EN TERRENYS,0.0,1777952.78,1777952.78,839370.07,230023.19
5,1532,61000,INVERSIONS EN TERRENYS,0.0,772458.95,772458.95,276913.38,616295.22
6,160,22714,MANTENIMENT CLAVEGUERAM,93000.0,0.0,93000.0,90262.11,0.0
6,161,22608,ALTRES DESPESES,0.0,4164.46,4164.46,4447.28,0.01
6,163,22700,NETEJA VIÀRIA,420000.0,0.0,420000.0,394701.26,0.0
6,165,22715,MANTENIMENT ENLLUMENAT PÚBLIC,105000.0,0.0,105000.0,93622.35,0.0
6,171,22709,MANTENIMENT JOCS INFANTILS,18000.0,-3000.0,15000.0,13364.79,0.0
6,171,62501,MOBILIARI I ESTRIS,0.0,0.0,0.0,0.0,0.0
6,171,22700,MANTENIMENT PERIURBANS,20000.0,0.0,20000.0,0.0,0.0
6,171,22716,MANTENIMENT JARDINERIA,355000.0,2297.68,357297.68,324460.02,0.0
6,231,22700,NETEJA DEPENDÈNCIES SERVEIS SOCIALS,0.0,0.0,0.0,637.2,0.0
6,231,22713,TREBALLS REALITZATS PER ALTRES EMPRESES,0.0,0.0,0.0,782.4,0.0
6,333,22700,NETEJA EQUIPAMENTS CULTURA,15000.0,0.0,15000.0,12928.44,0.0
6,333,22713,CLIMATITZACIÓ EQUIPAMENTS CULTURA,1500.0,0.0,1500.0,1149.12,0.0
6,337,22700,NETEJA CASAL DE JOVES,18000.0,0.0,18000.0,17299.08,0.0
6,337,22713,CLIMATITZACIÓ CASAL DE JOVES,250.0,0.0,250.0,178.08,0.0
6,342,22700,NETEJA EQUIPAMENTS ESPORTIUS,16000.0,0.0,16000.0,13343.64,0.0
6,342,22707,MANTENIMENT ZONA ESPORTIVA,48300.0,1438.03,49738.03,17256.36,0.0
6,342,22713,CLIMATITZACIÓ EQUIPAMENTS ESPORTIUS,4000.0,239.01,4239.01,3107.13,0.0
6,430,22713,CLIMATITZACIO CENTRE D'EMPRESES CAN GAVARRA,5000.0,0.0,5000.0,0.0,0.0
6,430,22700,NETEJA CENTRE DE EMPRESES CAN GAVARRA,15000.0,0.0,15000.0,7678.86,0.0
6,451,22700,NETEJA MAGATZEM BRIGADA,5000.0,0.0,5000.0,4780.08,0.0
6,451,62501,EDIFICIS I ALTRES CONSTRUCCIONS -MAGATZEM BRIGADA-,3500.0,0.0,3500.0,2196.05,0.0
6,451,62200,EDIFICIS I ALTRES CONSTRUCCIONS,0.0,285000.0,285000.0,0.0,285000.0
6,459,22707,DINAMITZACIÓ HORTS MUNICIPALS,1000.0,0.0,1000.0,0.0,0.0
6,920,22700,NETEJA EDIFICIS MUNICIPALS,70000.0,0.0,70000.0,62867.28,0.0
6,920,22713,CLIMATITZACIÓ EDIFICIS MUNICIPALS,3000.0,0.0,3000.0,2277.0,0.0
6,1530,62501,MOBILIARI I ESTRIS,0.0,28830.73,28830.73,25085.72,0.0
6,1532,62501,MOBILIARI I ESTRIS,0.0,121.0,121.0,0.0,121.0
6,1621,22700,RECOLLIDA DE RESIDUS,499000.0,7788.24,506788.24,413053.57,0.0
6,1622,22700,GESTIÓ DE RESIDUS SÒLIDS URBANS,55000.0,233.85,55233.85,34011.3,233.85
6,1623,22700,TRACTAMENT DE RESIDUS,200000.0,24153.93,224153.93,219275.84,0.0
6,3230,22713,CLIMATITZACIÓ ESCOLES PÚBLIQUES,5800.0,0.0,5800.0,4510.8,0.0
6,3230,22700,NETEJA ESCOLES PÚBLIQUES,195000.0,13023.57,208023.57,204360.81,0.0
6,3231,22700,NETEJA ESCOLES BRESSOL MUNICIPALS,103000.0,2982.09,105982.09,103759.17,0.0
6,3231,22713,CLIMATITZACIÓ ESCOLES BRESSOL MUNICIPALS,3500.0,69.64,3569.64,2691.28,0.0
6,3321,22700,NETEJA BIBLIOTECA,12000.0,0.0,12000.0,11896.56,0.0
6,3321,22713,CLIMATITZACIÓ BIBLIOTECA,150.0,0.0,150.0,107.88,0.0
6,9290,22700,NETEJA LOCAL D'ÀREA ATENCIÓ A LES PERSONES,10000.0,0.0,10000.0,9741.72,0.0
6,9290,22713,CLIMATITZACIÓ LOCAL ÀREA ATENCIÓ A LES PERSONES,400.0,24.09,424.09,313.17,0.0
6,9293,22700,NETEJA EQUIPAMENT EL ROURE,50000.0,0.0,50000.0,42548.88,0.0
6,9293,22713,CLIMATITZACIÓ EQUIPAMENT EL ROURE,2200.0,131.66,2331.66,1711.58,0.0
7,170,15000,PRODUCTIVITAT,600.0,0.0,600.0,0.0,0.0
7,170,62501,MOBILIARI I ESTRIS,3100.0,0.0,3100.0,0.0,0.0
7,170,16000,SEGURETAT SOCIAL PERSONAL MEDI AMBIENT,10524.0,0.0,10524.0,10357.19,0.0
7,170,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,18874.0,0.0,18874.0,19130.62,0.0
7,170,22200,SERVEIS DE TELECOMUNICACIONS,200.0,30.74,230.74,160.67,22.43
7,170,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,15518.0,0.0,15518.0,14747.4,0.0
7,942,46700,A CONSORCIS,4000.0,0.0,4000.0,2006.79,0.0
7,1622,20800,LLOGUER D'ALTRE IMMOBILITZAT MATERIAL,0.0,0.0,0.0,798.6,0.0
7,1622,20200,LLOGUER EDIFICIS I ALTRES CONSTRUCCIONS,1500.0,66.55,1566.55,0.0,0.0
7,1722,22706,ACTUACIONS CAMINS FORESTALS,10000.0,4613.66,14613.66,14613.66,446.38
7,1722,22610,CAMPANYES PREVENCIÓ RESIDUS,300.0,0.0,300.0,0.0,0.0
7,1722,22602,CAMPANYES SENSIBILITZACIÓ AMBIENTAL,12900.0,0.0,12900.0,2564.0,0.0
7,1722,22611,ALTRES DESPESES,0.0,0.0,0.0,3194.82,0.0
7,1722,21900,MANTENIMENT APP NATURA LOCAL,800.0,0.0,800.0,756.25,0.0
7,1722,22608,ALTRES DESPESES DIVERSES,1000.0,3000.0,4000.0,5.45,3000.0
7,1722,22199,ALTRES SUBMINISTRAMENTS,0.0,0.0,0.0,165.19,0.0
8,330,16000,SEGURETAT SOCIAL PERSONAL CULTURA,12108.0,0.0,12108.0,18068.56,0.0
8,330,15100,GRATIFICACIONS,0.0,0.0,0.0,2077.93,0.0
8,330,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,23943.0,-4000.0,19943.0,8107.6,0.0
8,330,62501,MOBILIARI I ESTRIS,32250.0,7200.0,39450.0,15350.85,5436.24
8,330,14300,ALTRE PERSONAL ATÍPIC,0.0,0.0,0.0,31519.31,0.0
8,330,15000,PRODUCTIVITAT,600.0,1200.0,1800.0,416.67,0.0
8,330,22602,PUBLICITAT I PROPAGANDA,100.0,0.0,100.0,66.98,0.0
8,330,68900,MONUMENT RAMBLA,0.0,7975.0,7975.0,8555.75,0.0
8,330,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,15011.0,0.0,15011.0,5468.48,0.0
8,330,22199,ALTRES SUBMINISTRAMENTS,0.0,0.0,0.0,829.35,0.0
8,333,63201,EDIFICIS I ALTRES CONSTRUCCIONS,0.0,60000.0,60000.0,0.0,60000.0
8,333,21500,MANTENIMENT MOBILIARI I ESTRIS,1000.0,0.0,1000.0,0.0,0.0
8,333,22199,ALTRES SUBMINISTRAMENTS,200.0,0.0,200.0,82.89,0.0
8,333,20800,LLOGUER D'ALTRE IMMOBILITZAT MATERIAL,0.0,500.0,500.0,4501.2,0.0
8,333,22200,SERVEIS DE TELECOMUNICACIONS,1500.0,0.0,1500.0,690.45,0.0
8,334,48900,SUBVENCIONS ENTITATS CULTURALS,35000.0,4400.0,39400.0,31516.97,0.0
8,334,78900,Altres transferències de capital a entitats,0.0,45000.0,45000.0,45000.0,0.0
8,334,22609,ACTIVITATS CULTURA,12000.0,0.0,12000.0,5300.91,0.0
8,334,22606,EXPOSICIÓ MEMÒRIA HISTÒRICA,10200.0,0.0,10200.0,9429.0,0.0
8,338,22610,FESTA MAJOR D'HIVERN,7000.0,0.0,7000.0,9921.25,0.0
8,338,22612,ALTRES FESTES POPULARS,10000.0,0.0,10000.0,12276.22,0.0
8,338,22614,FESTA MAJOR D'ESTIU,77000.0,9300.0,86300.0,86850.13,0.0
8,338,20800,LLOGUER D'ALTRE IMMOBILITZAT MATERIAL,34500.0,12000.0,46500.0,45508.83,0.0
8,338,22706,INFRAESTRUCTURA FESTES,500.0,0.0,500.0,0.0,0.0
8,338,22199,ALTRES SUBMINISTRAMENTS,0.0,0.0,0.0,611.53,0.0
8,338,22611,FESTES NADALENQUES,8000.0,0.0,8000.0,6094.03,0.0
8,942,46700,CONSORCI NORMALITZACIÓ LINGÜISTICA,9600.0,0.0,9600.0,8858.08,0.0
8,3321,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,24872.0,0.0,24872.0,24293.32,0.0
8,3321,62501,MOBILIARI I ESTRIS,1000.0,0.0,1000.0,0.0,0.0
8,3321,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,27301.0,0.0,27301.0,27390.92,0.0
8,3321,22200,SERVEIS DE TELECOMUNICACIONS,1200.0,0.0,1200.0,1185.8,0.0
8,3321,16000,SEGURETAT SOCIAL PERSONAL BIBLIOTECA,15495.0,0.0,15495.0,16035.51,0.0
8,3321,22001,LLIBRES BIBLIOTECA,3000.0,0.0,3000.0,2497.46,0.0
8,3321,63200,EDIFICIS I ALTRES CONSTRUCCIONS -BIBLIOTECA-,5000.0,0.0,5000.0,4618.01,0.0
8,3321,63201,EDIFICIS I ALTRES CONSTRUCCIONS,0.0,19794.21,19794.21,0.0,19794.21
8,3321,22605,ALTRES DESPESES,0.0,0.0,0.0,1354.63,0.0
8,3321,22609,ACTIVITATS BIBLIOTECA,6500.0,0.0,6500.0,5999.65,0.0
8,3321,21500,MANTENIMENT MOBILIARI I ESTRIS,1000.0,0.0,1000.0,66.16,0.0
8,3321,22199,ALTRES SUBMINISTRAMENTS,200.0,0.0,200.0,617.45,0.0
8,3321,15100,GRATIFICACIONS,0.0,0.0,0.0,300.0,0.0
8,3321,15000,PRODUCTIVITAT,1200.0,1000.0,2200.0,1200.0,0.0
8,3321,62200,EDIFICIS I ALTRES CONSTRUCCIONS,0.0,311000.0,311000.0,302379.0,0.0
9,924,22707,TREBALLS REALITZATS PER ALTRES EMPRESES,0.0,10527.0,10527.0,10527.0,0.0
9,924,22706,PARTICIPACIÓ CIUTADADA,3000.0,0.0,3000.0,1429.32,0.0
9,9232,22608,MANTENIMENT PÀGINA WEB I IMATGE CORPORATIVA,7000.0,0.0,7000.0,0.0,0.0
9,9232,22602,"BUTLLETÍ, AGENDA I ALTRES PUBLIC MUNICIPALS -TRANSPARÈNCIA-",40000.0,7569.05,47569.05,41650.07,4241.3
10,337,15000,PRODUCTIVITAT,600.0,1500.0,2100.0,600.0,0.0
10,337,21500,MANTENIMENT MOBILIARI I ESTRIS,2000.0,0.0,2000.0,484.59,0.0
10,337,48900,SUBVENCIONS ENTITATS JUVENILS,8500.0,1573.11,10073.11,7863.71,0.0
10,337,63201,EDIFICIS I ALTRES CONSTRUCCIONS,0.0,72.27,72.27,0.0,72.27
10,337,62501,MOBILIARI I ESTRIS,4000.0,6584.02,10584.02,7449.69,0.0
10,337,21200,Reparac.mantenim. i conserv.edificis i altres construccions,0.0,0.0,0.0,1438.69,0.0
10,337,22609,ACTIVITATS INFANTILS I JUVENILS,18000.0,795.99,18795.99,17903.6,93.32
10,337,22199,ALTRES SUBMINISTRAMENTS,500.0,0.0,500.0,243.24,0.0
10,337,22200,SERVEIS DE TELECOMUNICACIONS,3200.0,0.0,3200.0,2200.43,0.0
10,337,13100,REMUNERACIONS PERSONAL LABORAL TEMPORAL,31643.0,0.0,31643.0,31577.17,0.0
10,337,22613,CASAL D'ESTIU,82000.0,0.0,82000.0,84199.96,0.0
10,337,16000,SEGURETAT SOCIAL PERSONAL JOVENTUT,9394.0,0.0,9394.0,10228.78,0.0
10,337,22706,ESTUDI I DISSENY PLA LOCAL DE JOVENTUT,500.0,0.0,500.0,0.0,0.0
10,337,15100,GRATIFICACIONS PERSONAL FUNCIONARI,0.0,0.0,0.0,1402.9,0.0
10,337,22707,PUNT D'INFORMACIÓ JUVENIL,18200.0,1410.65,19610.65,18338.45,0.0
10,337,63200,EDIFICIS I ALTRES CONSTRUCCIONS -CASAL DE JOVES-,12000.0,10000.0,22000.0,19502.57,0.0
11,320,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,28454.0,0.0,28454.0,20661.74,0.0
11,320,15000,PRODUCTIVITAT,1200.0,0.0,1200.0,0.0,0.0
11,320,16000,SEGURETAT SOCIAL PERSONAL EDUCACIÓ,15660.0,0.0,15660.0,13805.14,0.0
11,320,22602,PUBLICITAT I PROPAGANDA EDUCACIÓ,100.0,0.0,100.0,114.89,0.0
11,320,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,36353.0,0.0,36353.0,27719.54,0.0
11,326,22610,PROGRAMES EDUCATIUS,4400.0,0.0,4400.0,2694.87,0.0
11,326,22707,FORMACIÓ,5500.0,-1961.0,3539.0,207.5,3039.0
