#Org.,Fun.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
02,221,16000,SEGURETAT SOCIAL FORMACIÓ I ACCIÓ SOCIAL,10605.0,,10605.0,
02,221,16106,INDEMNITZACIONS,,,,569.39
02,221,16200,FORMACIO I PERFECCIONAMENT PERSONAL,9000.0,,9000.0,300.0
02,221,16204,ACCIÓ SOCIAL PERSONAL,24140.0,,24140.0,27275.58
02,920,12000,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A1,42117.0,,42117.0,4936.84
02,920,12001,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A2,41987.0,,41987.0,9416.51
02,920,12003,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C1,42761.0,,42761.0,10282.51
02,920,12004,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C2,43729.0,,43729.0,10318.81
02,920,12006,TRIENNIS,28631.0,,28631.0,7327.88
02,920,12100,COMPLEMENT DE DESTINACIÓ,91532.0,,91532.0,18944.26
02,920,12101,COMPLEMENT ESPECÍFIC,284905.0,,284905.0,61918.82
02,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,53353.0,,53353.0,12502.06
02,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,76231.0,,76231.0,18386.49
02,920,15000,PRODUCTIVITAT,9000.0,,9000.0,
02,920,15100,GRATIFICACIONS,4000.0,,4000.0,
02,920,16000,SEGURETAT SOCIAL PERSONAL SERVEIS GENERALS,180722.0,,180722.0,38696.54
02,920,21300,"REPARAC. MANTENIM. I CONSERV. MAQUINÀRIA, INSTAL·LAC. I UTIL",1500.0,,1500.0,3177.85
02,920,21500,MANTENIMENT MOBILIARI I ESTRIS,5000.0,,5000.0,769.38
02,920,21600,MANTENIMENT EQUIPS INFORMÀTICS,4000.0,,4000.0,370.18
02,920,21900,MANTENIMENT PROGRAMES INFORMÀTICS,9000.0,,9000.0,5885.98
02,920,22000,MATERIAL D'OFICINA,10000.0,3097.53,13097.53,4829.47
02,920,22001,"PREMSA, REVISTES, LLIBRES I ALTRES PUBLICACIONS",7500.0,,7500.0,3810.87
02,920,22002,MATERIAL INFORMÀTIC NO INVENTARIABLE,41620.0,19544.75,61164.75,17530.06
02,920,22199,ALTRES SUBMINISTRAMENTS,,267.83,267.83,270.08
02,920,22200,SERVEIS DE TELECOMUNICACIONS,23000.0,513.9,23513.9,1571.33
02,920,22201,COMUNICACIONS POSTALS,8000.0,336.13,8336.13,1699.97
02,920,22299,ALTRES DESPESES EN COMUNICACIONS,1500.0,459.49,1959.49,714.47
02,920,22400,PRIMES ASSEGURANCES,35000.0,,35000.0,16525.1
02,920,22602,PUBLICITAT I PROPAGANDA,4000.0,,4000.0,203.28
02,920,22603,PUBLICACIÓ DIARIS OFICIALS,9000.0,,9000.0,1641.45
02,920,22604,DESPESES JURIDIQUES,6000.0,5839.03,11839.03,8807.56
02,920,22699,DESPESES DIVERSES,8000.0,140.84,8140.84,1697.18
02,920,22706,TREBALLS TECNICS REALITZATS ALTRES EMPRESES,21000.0,4827.9,25827.9,3184.31
02,920,23020,DIETES PERSONAL NO DIRECTIU,3500.0,,3500.0,1075.85
02,920,23120,LOCOMOCIÓ PERSONAL NO DIRECTIU,1500.0,,1500.0,712.38
02,920,23300,ALTRES INDEMNITZACIONS,1200.0,,1200.0,
02,920,35800,INTERESSOS RENTING,2500.0,,2500.0,
02,920,62501,MOBILIARI I ESTRIS,10000.0,1110.85,11110.85,1110.85
02,920,62601,EQUIPS PER A PROCESSOS D'INFORMACIO,3000.0,,3000.0,
02,920,64800,QUOTES RENTING FOTOCOPIADORES I ORDINADORS,16000.0,,16000.0,
02,932,22708,SERVEIS DE RECAPTACIÓ A FAVOR DE L'ENTITAT,140000.0,,140000.0,21064.92
02,934,31100,DESP. FORMALITZACIO MODIFICACIÓ I CANCEL.PRESTECS INTERIOR,1000.0,,1000.0,
02,934,34100,INTERESSOS DE FIANCES,,,,20.11
02,934,35200,INTERESSOS DE DEMORA,2000.0,,2000.0,
02,934,35900,ALTRES DESPESES FINANCERES,1000.0,,1000.0,242.47
02,942,46600,A ALTRES AGRUPACIONS DE MUNICIPIS,5000.0,,5000.0,1494.0
03,130,12003,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C1,189150.0,,189150.0,41255.63
03,130,12004,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C2,,,,4696.32
03,130,12006,TRIENNIS,20528.0,,20528.0,4229.9
03,130,12100,COMPLEMENT DE DESTINACIÓ,85738.0,,85738.0,18829.45
03,130,12101,COMPLEMENT ESPECÍFIC,341347.0,,341347.0,83969.74
03,130,15000,PRODUCTIVITAT,10800.0,,10800.0,
03,130,15100,GRATIFICACIONS,9000.0,,9000.0,3102.45
03,130,16000,SEGURETAT SOCIAL PERSONAL SEGURETAT CIUTADANA,181423.0,,181423.0,40831.96
03,130,20400,LLOGUER DE MATERIAL DE TRANSPORT,8000.0,484.0,8484.0,3248.85
03,130,21300,"MANTENIMENT MAQUINARIA, INSTAL.LACIONS I UTILLATGE",1000.0,,1000.0,509.94
03,130,21400,MANTENIMENT VEHICLES,11362.0,212.96,11574.96,212.96
03,130,21500,MANTENIMENT MOBILIARI I ESTRIS,300.0,43.78,343.78,110.81
03,130,21900,REPARAC. MANTEN. ALTRE IMMOBILIZ.MATERIAL,2600.0,,2600.0,635.25
03,130,22103,SUBMINISTRAMENT  COMBUSTIBLE,5000.0,235.35,5235.35,703.78
03,130,22104,SUBMINISTRAMENT  VESTUARI,7000.0,,7000.0,1680.0
03,130,22199,ALTRES SUBMINISTRAMENTS,1000.0,,1000.0,
03,130,22200,SERVEIS DE TELECOMUNICACIONS,4800.0,265.56,5065.56,499.4
03,130,22699,DESPESES DIVERSES,1000.0,,1000.0,171.84
03,130,35800,INTERESSOS RENTING,782.0,,782.0,
03,130,62501,MOBILIARI I ESTRIS,4000.0,,4000.0,
03,130,62601,EQUIPS PER A PROCESSOS D'INFORMACIO,1000.0,,1000.0,
03,130,64800,QUOTES RENTING VEHICLES I EQUIPS DE TRANSMISSIÓ,22000.0,906.29,22906.29,906.29
03,135,22699,ALTRES DESPESES DIVERSES- PROTECCIO CIVIL-,3000.0,,3000.0,
04,135,22706,PLANS DE PROTECCIÓ CIVIL,8000.0,,8000.0,
04,150,12000,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A1,44512.0,,44512.0,9958.23
04,150,12001,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A2,13996.0,,13996.0,3280.57
04,150,12003,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C1,21017.0,,21017.0,4985.68
04,150,12004,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C2,26237.0,,26237.0,5330.89
04,150,12006,TRIENNIS,17300.0,,17300.0,3093.45
04,150,12100,COMPLEMENT DE DESTINACIÓ,60751.0,,60751.0,13642.87
04,150,12101,COMPLEMENT ESPECÍFIC,144021.0,,144021.0,32474.66
04,150,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,50188.0,,50188.0,11487.98
04,150,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,99699.0,,99699.0,23990.21
04,150,13100,REMUNERACIONS PERSONAL LABORAL TEMPORAL,27272.0,,27272.0,6092.45
04,150,15000,PRODUCTIVITAT,7200.0,,7200.0,
04,150,16000,SEGURETAT SOCIAL PERSONAL URBANISME,134470.0,,134470.0,33049.1
04,150,21400,MANTENIMENT VEHICLES,1500.0,,1500.0,
04,150,21900,REPARAC. MANTEN. ALTRE IMMOBILIZ.MATERIAL,,,,
04,150,22103,SUBMINISTRAMENT COMBUSTIBLE,2000.0,,2000.0,
04,150,22199,ALTRES SUBMINISTRAMENTS,1000.0,,1000.0,
04,150,22200,SERVEIS DE TELECOMUNICACIONS,2500.0,132.49,2632.49,80.61
04,150,22699,ALTRES DESPESES DIVERSES,1500.0,,1500.0,20.67
04,150,22706,"ESTUDIS, PROJECTES I ALTRES TREBALLS TÈCNICS URBANISME",23000.0,,23000.0,
04,150,48900,ALTRES TRANSFERÈNCIES,500.0,,500.0,
04,150,62501,MOBILIARI I ESTRIS,1000.0,,1000.0,
04,150,62601,EQUIPS PER A PROCESSOS D'INFORMACIO,1000.0,,1000.0,
04,151,60000,INVERSIONS EN TERRENYS,,,,
04,336,61900,REURBANITZACIÓ PASSEIG ESGLÉSIA,,1684.32,1684.32,1422.96
05,151,22699,ALTRES DESPESES DIVERSES,,36292.14,36292.14,29292.31
05,165,63300,"MAQUINARIA, INSTAL.LACIONS I ESTRIS",11000.0,,11000.0,
05,171,61000,INVERSIONS PARCS,10000.0,,10000.0,
05,430,62200,EDIFICIS I ALTRES CONSTRUCCIONS,,2552.25,2552.25,2552.25
05,430,62501,MOBILIARI I ESTRIS,,,,
05,430,62601,EQUIPS PER A PROCESSOS D'INFORMACIO,,,,
05,1530,61000,INVERSIONS EN VIA PÚBLICA,60000.0,665.5,60665.5,665.5
05,1530,63300,"MAQUINARIA, INSTAL.LACIONS I ESTRIS",2000.0,11820.64,13820.64,11820.64
05,1532,61000,INVERSIONS EN TERRENYS,,665.5,665.5,665.5
05,1532,61001,INVERSIONS EN TERRENYS,,,,
06,160,22714,MANTENIMENT CLAVEGUERAM,93000.0,,93000.0,
06,161,22608,ALTRES DESPESES,,4164.46,4164.46,4447.28
06,163,22700,NETEJA VIÀRIA,420000.0,,420000.0,62731.15
06,165,22715,MANTENIMENT ENLLUMENAT PÚBLIC,105000.0,,105000.0,7028.88
06,171,22700,MANTENIMENT PERIURBANS,20000.0,,20000.0,
06,171,22709,MANTENIMENT JOCS INFANTILS,18000.0,,18000.0,2114.24
06,171,22716,MANTENIMENT JARDINERIA,355000.0,2297.68,357297.68,53693.72
06,231,22700,NETEJA DEPENDÈNCIES SERVEIS SOCIALS,,,,106.2
06,231,22713,TREBALLS REALITZATS PER ALTRES EMPRESES,,,,130.4
06,333,22700,NETEJA EQUIPAMENTS CULTURA,15000.0,,15000.0,2154.74
06,333,22713,CLIMATITZACIÓ EQUIPAMENTS CULTURA,1500.0,,1500.0,191.52
06,337,22700,NETEJA CASAL DE JOVES,18000.0,,18000.0,2883.18
06,337,22713,CLIMATITZACIÓ CASAL DE JOVES,250.0,,250.0,29.68
06,342,22700,NETEJA EQUIPAMENTS ESPORTIUS,16000.0,,16000.0,2223.94
06,342,22707,MANTENIMENT ZONA ESPORTIVA,48300.0,1438.03,49738.03,2876.06
06,342,22713,CLIMATITZACIÓ EQUIPAMENTS ESPORTIUS,4000.0,239.01,4239.01,478.02
06,430,22700,NETEJA CENTRE DE EMPRESES CAN GAVARRA,15000.0,,15000.0,1316.84
06,430,22713,CLIMATITZACIO CENTRE D'EMPRESES CAN GAVARRA,5000.0,,5000.0,
06,451,22700,NETEJA MAGATZEM BRIGADA,5000.0,,5000.0,796.68
06,451,62200,EDIFICIS I ALTRES CONSTRUCCIONS,,,,
06,451,62501,EDIFICIS I ALTRES CONSTRUCCIONS -MAGATZEM BRIGADA-,3500.0,,3500.0,
06,459,22707,DINAMITZACIÓ HORTS MUNICIPALS,1000.0,,1000.0,
06,920,22700,NETEJA EDIFICIS MUNICIPALS,70000.0,,70000.0,10477.88
06,920,22713,CLIMATITZACIÓ EDIFICIS MUNICIPALS,3000.0,,3000.0,379.5
06,1530,62501,MOBILIARI I ESTRIS,,500.94,500.94,500.94
06,1532,62501,MOBILIARI I ESTRIS,,,,
06,1621,22700,RECOLLIDA DE RESIDUS,499000.0,7788.24,506788.24,72889.66
06,1622,22700,GESTIÓ DE RESIDUS SÒLIDS URBANS,55000.0,,55000.0,6236.02
06,1623,22700,TRACTAMENT DE RESIDUS,200000.0,24153.93,224153.93,44811.18
06,3230,22700,NETEJA ESCOLES PÚBLIQUES,195000.0,13023.57,208023.57,44913.1
06,3230,22713,CLIMATITZACIÓ ESCOLES PÚBLIQUES,5800.0,,5800.0,751.8
06,3231,22700,NETEJA ESCOLES BRESSOL MUNICIPALS,103000.0,2982.09,105982.09,19778.27
06,3231,22713,CLIMATITZACIÓ ESCOLES BRESSOL MUNICIPALS,3500.0,69.64,3569.64,436.94
06,3321,22700,NETEJA BIBLIOTECA,12000.0,,12000.0,1982.76
06,3321,22713,CLIMATITZACIÓ BIBLIOTECA,150.0,,150.0,17.98
06,9290,22700,NETEJA LOCAL D'ÀREA ATENCIÓ A LES PERSONES,10000.0,,10000.0,1623.62
06,9290,22713,CLIMATITZACIÓ LOCAL ÀREA ATENCIÓ A LES PERSONES,400.0,24.09,424.09,48.18
06,9293,22700,NETEJA EQUIPAMENT EL ROURE,50000.0,,50000.0,7091.49
06,9293,22713,CLIMATITZACIÓ EQUIPAMENT EL ROURE,2200.0,131.66,2331.66,263.32
07,170,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,15518.0,,15518.0,3588.71
07,170,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,18874.0,,18874.0,4689.59
07,170,15000,PRODUCTIVITAT,600.0,,600.0,
07,170,16000,SEGURETAT SOCIAL PERSONAL MEDI AMBIENT,10524.0,,10524.0,2630.98
07,170,22200,SERVEIS DE TELECOMUNICACIONS,200.0,30.74,230.74,11.75
07,170,62501,MOBILIARI I ESTRIS,3100.0,,3100.0,
07,942,46700,A CONSORCIS,4000.0,,4000.0,2006.79
07,1622,20200,LLOGUER EDIFICIS I ALTRES CONSTRUCCIONS,1500.0,66.55,1566.55,
07,1622,20800,LLOGUER D'ALTRE IMMOBILITZAT MATERIAL,,,,133.1
07,1722,21900,MANTENIMENT APP NATURA LOCAL,800.0,,800.0,
07,1722,22602,CAMPANYES SENSIBILITZACIÓ AMBIENTAL,12900.0,,12900.0,
07,1722,22608,ALTRES DESPESES DIVERSES,1000.0,,1000.0,5.45
07,1722,22610,CAMPANYES PREVENCIÓ RESIDUS,300.0,,300.0,
07,1722,22611,ALTRES DESPESES,,,,300.0
07,1722,22706,ACTUACIONS CAMINS FORESTALS,10000.0,,10000.0,
08,330,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,15011.0,,15011.0,595.8
08,330,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,23943.0,,23943.0,1171.94
08,330,14300,ALTRE PERSONAL ATÍPIC,,,,7956.42
08,330,15000,PRODUCTIVITAT,600.0,,600.0,
08,330,16000,SEGURETAT SOCIAL PERSONAL CULTURA,12108.0,,12108.0,5261.65
08,330,22199,ALTRES SUBMINISTRAMENTS,,,,419.41
08,330,22602,PUBLICITAT I PROPAGANDA,100.0,,100.0,
08,330,62501,MOBILIARI I ESTRIS,32250.0,1763.76,34013.76,221.01
08,330,68900,MONUMENT RAMBLA,,,,
08,333,20800,LLOGUER D'ALTRE IMMOBILITZAT MATERIAL,,,,750.2
08,333,21500,MANTENIMENT MOBILIARI I ESTRIS,1000.0,,1000.0,
08,333,22199,ALTRES SUBMINISTRAMENTS,200.0,,200.0,
08,333,22200,SERVEIS DE TELECOMUNICACIONS,1500.0,,1500.0,89.48
08,333,63201,EDIFICIS I ALTRES CONSTRUCCIONS,,,,
08,334,22606,EXPOSICIÓ MEMÒRIA HISTÒRICA,10200.0,,10200.0,96.03
08,334,22609,ACTIVITATS CULTURA,12000.0,,12000.0,436.8
08,334,48900,SUBVENCIONS ENTITATS CULTURALS,35000.0,,35000.0,
08,338,20800,LLOGUER D'ALTRE IMMOBILITZAT MATERIAL,34500.0,,34500.0,13812.15
08,338,22610,FESTA MAJOR D'HIVERN,7000.0,,7000.0,9921.25
08,338,22611,FESTES NADALENQUES,8000.0,,8000.0,6022.44
08,338,22612,ALTRES FESTES POPULARS,10000.0,,10000.0,4284.26
08,338,22614,FESTA MAJOR D'ESTIU,77000.0,,77000.0,
08,338,22706,INFRAESTRUCTURA FESTES,500.0,,500.0,
08,942,46700,CONSORCI NORMALITZACIÓ LINGÜISTICA,9600.0,,9600.0,
08,3321,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,24872.0,,24872.0,5812.32
08,3321,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,27301.0,,27301.0,6607.74
08,3321,15000,PRODUCTIVITAT,1200.0,,1200.0,
08,3321,16000,SEGURETAT SOCIAL PERSONAL BIBLIOTECA,15495.0,,15495.0,4001.56
08,3321,21500,MANTENIMENT MOBILIARI I ESTRIS,1000.0,,1000.0,66.16
08,3321,22001,LLIBRES BIBLIOTECA,3000.0,,3000.0,
08,3321,22199,ALTRES SUBMINISTRAMENTS,200.0,,200.0,15.45
08,3321,22200,SERVEIS DE TELECOMUNICACIONS,1200.0,,1200.0,302.58
08,3321,22605,ALTRES DESPESES,,,,1143.91
08,3321,22609,ACTIVITATS BIBLIOTECA,6500.0,,6500.0,2280.99
08,3321,62501,MOBILIARI I ESTRIS,1000.0,,1000.0,
08,3321,63200,EDIFICIS I ALTRES CONSTRUCCIONS -BIBLIOTECA-,5000.0,,5000.0,
08,3321,63201,EDIFICIS I ALTRES CONSTRUCCIONS,,,,
09,924,22706,PARTICIPACIÓ CIUTADADA,3000.0,,3000.0,
09,924,22707,TREBALLS REALITZATS PER ALTRES EMPRESES,,10527.0,10527.0,
09,9232,22602,"BUTLLETÍ, AGENDA I ALTRES PUBLIC MUNICIPALS -TRANSPARÈNCIA-",40000.0,3568.79,43568.79,8444.34
09,9232,22608,MANTENIMENT PÀGINA WEB I IMATGE CORPORATIVA,7000.0,,7000.0,
10,337,13100,REMUNERACIONS PERSONAL LABORAL TEMPORAL,31643.0,,31643.0,7549.42
10,337,15000,PRODUCTIVITAT,600.0,,600.0,
10,337,15100,GRATIFICACIONS PERSONAL FUNCIONARI,,,,160.96
10,337,16000,SEGURETAT SOCIAL PERSONAL JOVENTUT,9394.0,,9394.0,2443.75
10,337,21500,MANTENIMENT MOBILIARI I ESTRIS,2000.0,,2000.0,
10,337,22199,ALTRES SUBMINISTRAMENTS,500.0,,500.0,
10,337,22200,SERVEIS DE TELECOMUNICACIONS,3200.0,,3200.0,251.9
10,337,22609,ACTIVITATS INFANTILS I JUVENILS,18000.0,969.9,18969.9,1276.58
10,337,22613,CASAL D'ESTIU,82000.0,,82000.0,
10,337,22706,ESTUDI I DISSENY PLA LOCAL DE JOVENTUT,500.0,,500.0,
10,337,22707,PUNT D'INFORMACIÓ JUVENIL,18200.0,1410.65,19610.65,4231.95
10,337,48900,SUBVENCIONS ENTITATS JUVENILS,8500.0,,8500.0,
10,337,62501,MOBILIARI I ESTRIS,4000.0,,4000.0,
10,337,63200,EDIFICIS I ALTRES CONSTRUCCIONS -CASAL DE JOVES-,12000.0,,12000.0,
10,337,63201,EDIFICIS I ALTRES CONSTRUCCIONS,,,,
11,320,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,28454.0,,28454.0,2854.19
11,320,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,36353.0,,36353.0,3727.69
11,320,15000,PRODUCTIVITAT,1200.0,,1200.0,
11,320,16000,SEGURETAT SOCIAL PERSONAL EDUCACIÓ,15660.0,,15660.0,1182.4
11,320,22602,PUBLICITAT I PROPAGANDA EDUCACIÓ,100.0,,100.0,
11,326,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,,,,
11,326,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,,,,
11,326,22608,ALTRES DESPESES DIVERSES (POLINYÀ GROGA),3529.0,,3529.0,
11,326,22610,PROGRAMES EDUCATIUS,4400.0,,4400.0,669.02
11,326,22700,FORMACIÓ,800.0,,800.0,
11,326,22707,FORMACIÓ,5500.0,,5500.0,
11,326,48900,SUBVENCIONS EDUCATIVES,35000.0,,35000.0,
11,326,48901,ALTRES SUBVENCIONS,12000.0,,12000.0,
11,3230,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,9577.0,,9577.0,2328.05
11,3230,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,15879.0,,15879.0,3822.52
11,3230,13100,REMUNERACIONS PERSONAL LABORAL TEMPORAL,71847.0,,71847.0,16751.51
11,3230,14300,ALTRE PERSONAL ATÍPIC,,,,
11,3230,15000,PRODUCTIVITAT,2400.0,,2400.0,
11,3230,16000,SEGURETAT SOCIAL PERSONAL CONSERGERIA ESCOLES PÚBLIQUES,29419.0,,29419.0,7583.46
11,3230,20800,LLOGUERS D'ALTRE INMOBILITZAT MATERIAL,4270.0,,4270.0,711.48
11,3230,22001,"PREMSA, REVISTES, LLIBRES I ALTRES PUBLICACIONS",50.0,,50.0,
11,3230,22200,SERVEIS DE TELECOMUNICACIONS,4700.0,,4700.0,591.79
11,3230,62501,MOBILIARI I ESTRIS,5000.0,,5000.0,
11,3230,63201,EDIFICIS I ALTRES CONSTRUCCIONS,,,,
11,3231,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,279202.0,,279202.0,63121.43
11,3231,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,330461.0,,330461.0,80336.2
11,3231,14300,ALTRE PERSONAL ATÍPIC,11242.0,,11242.0,13777.08
11,3231,15000,PRODUCTIVITAT,12600.0,,12600.0,
11,3231,15100,GRATIFICACIONS,9000.0,,9000.0,
11,3231,16000,SEGURETAT SOCIAL PERSONAL ESCOLES BRESSOL MUNICIPALS,182966.0,,182966.0,41243.0
11,3231,21500,MANTENIMENT MOBILIARI I ESTRIS,1600.0,30.01,1630.01,35.75
11,3231,21600,REPARACIÓ I MANTENIMENT EQUIPS INFORMÀTICS,550.0,,550.0,
11,3231,21900,MANTENIMENT PROGRAMES INFORMÀTICS,750.0,,750.0,
11,3231,22104,SUBMINISTRAMENT VESTUARI,1000.0,,1000.0,
11,3231,22106,PRODUCTES FARMACÈUTICS I MATERIAL SANITARI ESCOLES BRESSOL,50.0,,50.0,
11,3231,22199,ALTRES SUBMINISTRAMENTS,7000.0,,7000.0,140.02
11,3231,22200,SERVEIS DE TELECOMUNICACIONS,1500.0,5.05,1505.05,218.66
11,3231,22203,COMUNICACIONS INFORMÀTIQUES,,,,
11,3231,22602,PUBLICITAT I PROPAGANDA,500.0,,500.0,
11,3231,22610,ALTRES DESPESES,900.0,,900.0,202.5
11,3231,62501,MOBILIARI I ESTRIS,6000.0,,6000.0,
11,3231,62601,EQUIPS PER A PROCESSOS D'INFORMACIO,600.0,,600.0,
11,3231,63201,EDIFICIS I ALTRES CONSTRUCCIONS,,17533.14,17533.14,17533.13
11,3231,64800,QUOTES RENTING FOTOCOPIADORA,770.0,,770.0,
11,3232,14300,ALTRE PERSONAL ATÍPIC,,,,818.23
12,9290,12003,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C1,10508.0,,10508.0,2509.07
12,9290,12004,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C2,26237.0,,26237.0,3759.56
12,9290,12006,TRIENNIS,4809.0,,4809.0,851.13
12,9290,12100,COMPLEMENT DE DESTINACIÓ,18460.0,,18460.0,3225.59
12,9290,12101,COMPLEMENT ESPECÍFIC,50310.0,,50310.0,8678.44
12,9290,14300,ALTRE PERSONAL ATÍPIC,14421.0,,14421.0,5286.26
12,9290,15000,PRODUCTIVITAT,3000.0,,3000.0,
12,9290,16000,SEGURETAT SOCIAL PERSONAL ADMINISTRATIU AAPP,32443.0,,32443.0,6172.54
12,9290,21500,MANTENIMENT MOBILIARI I ESTRIS,700.0,480.84,1180.84,149.4
12,9290,21600,REPARACIÓ I MANTENIMENT EQUIPS INFORMÀTICS,800.0,,800.0,
12,9290,22000,MATERIAL D'OFICINA,1000.0,145.88,1145.88,184.38
12,9290,22200,SERVEIS DE TELECOMUNICACIONS,2000.0,361.42,2361.42,187.88
12,9290,22602,PUBLICITAT I PROPAGANDA,1000.0,,1000.0,
12,9290,22717,MUNTATGE I DESMUNTATGE DE TARIMES,1200.0,,1200.0,1113.39
12,9290,35800,Interessos per operacions d'arrendament fro («leasing»).,,,,
12,9290,62501,MOBILIARI I ESTRIS,1200.0,,1200.0,
12,9290,63200,EDIFICIS I ALTRES CONSTRUCCIONS -EL ROURE-,65000.0,,65000.0,
12,9290,64800,QUOTES RENTING FOTOCOPIADORA,1200.0,171.38,1371.38,
12,9293,12004,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C2,8746.0,,8746.0,1749.49
12,9293,12006,TRIENNIS,784.0,,784.0,124.59
12,9293,12100,COMPLEMENT DE DESTINACIÓ,3796.0,,3796.0,760.45
12,9293,12101,COMPLEMENT ESPECÍFIC,10613.0,,10613.0,2126.31
12,9293,13100,REMUNERACIONS PERSONAL LABORAL TEMPORAL,26698.0,,26698.0,4958.55
12,9293,14300,ALTRE PERSONAL ATÍPIC,14421.0,,14421.0,4807.2
12,9293,15000,PRODUCTIVITAT,1800.0,,1800.0,
