#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts totals
39190,ALTRES MULTES I SANCIONS,100000.0,0.0,100000.0,11425.6
39200,RECÀRREC D'EXTEMPORANEÏTAT,5000.0,0.0,5000.0,1390.07
39300,INTERESSOS DEUTES TRIBUTÀRIES I ALTRES,1000.0,0.0,1000.0,6806.63
39901,ALTRES INGRESSOS DIVERSOS,1000.0,0.0,1000.0,0.0
39903,COMPENSACIÓ CÀNON DE DEPOSICIÓ RESIDUS,50000.0,0.0,50000.0,0.0
39904,GESTIÓ RECOLLIDA RESIDUS DEIXALLERIA,14000.0,0.0,14000.0,0.0
39907,INGRESSOS PER EXECUCIONS SUBSIDIÀRIES,0.0,0.0,0.0,0.0
39910,lINGRESSOS PER CESSIONS HABITTGE SOCIAL,6000.0,0.0,6000.0,4246.25
42000,PARTICIPACIONS EN ELS TRIBUTS DE L'ESTAT,2333000.0,0.0,2333000.0,328323.86
45000,FONS DE COOPERACIÓ,141000.0,0.0,141000.0,0.0
45080,DE L'ADMINISTRACIÓ GENERAL DE LA COMUNITAT AUTÒNOMA,450000.0,0.0,450000.0,0.0
45100,TRANSFERÈNCIES D'ORGANISMES AUTÒNOMS DE LA COM.AUTÒNOMA,100000.0,102211.5,202211.5,79596.2
46100,ALTRES TRANSFERÈNCIES DIPUTACIÓ,580889.4,88593.22,669482.62,45301.9
46500,ALTRES TRANSFERÈNCIES COMARQUES,200000.0,0.0,200000.0,0.0
52000,INTERESSOS DE CAIXES I BANCS,0.0,0.0,0.0,0.0
54100,ARRENDAMENT FINQUES (PISOS SAREB),100000.0,0.0,100000.0,0.0
55000,CONCESSIONS ADMINISTRATIVES,67000.0,0.0,67000.0,47406.68
60000,VENDA DE SOLARS,0.0,0.0,0.0,0.0
75300,DE SOC MERC ENT PÚB EMPR I ALTRES ORGA PÚB DEPEN DE CCAA,0.0,167126.86,167126.86,0.0
76100,DE DIPUTACIONS,521903.17,0.0,521903.17,70875.0
87000,PER A DESPESES GENERALS,0.0,0.0,0.0,0.0
87010,PER A DESPESES AMB FINANÇAMENT AFECTAT,0.0,756162.21,756162.21,0.0
91100,PRÉSTECS A LL/T D'ENS DEL SECTOR PÚBLIC,0.0,0.0,0.0,0.0
91301,PRÈSTEC REBUT ENS FORA SECTOR PÚBLIC,0.0,0.0,0.0,0.0
,,15285992.57,1114093.79,16400086.36,1796602.62
