#Data,Import,Orgánica,Area,Funcional,Económica,Nom terc.,Text lliure,Document
2017-01-18,71.73,3,Seguretat ciutadana,,,TELEFONICA DE ESPAÑA,Detalle de conceptos( 1 Nov. 16 - 30 Nov. 16 ) Facturacio LOT3 Novembre 2016,60K6RR011300
2017-01-18,54.45,3,Seguretat ciutadana,,,"TELEFONICA MOVILES, SA (MOVISTAR)",Movistar - Tipus de contracte: Corporatiu 2005 Tarifa Única - Extensions mòbils: 22 - Lineas Facturadas: 606033499 60623,28-L6U1-036378
2017-01-18,81.45,3,Seguretat ciutadana,,,"TELEFONICA MOVILES, SA (MOVISTAR)",Movistar - Tipus de contracte: Corporatiu 2005 Tarifa Única - Extensions mòbils: 26 - Lineas Facturadas: 606457246 60657,28-L6U1-005243
2017-01-18,67.92,3,Seguretat ciutadana,,,"COMERCIAL LIDER, S.A.",BRIDES POLICIA LOCAL,604003056
2017-01-18,38.71,4,Urbanisme,,,"TELEFONICA MOVILES, SA (MOVISTAR)",Movistar - Tipus de contracte: Corporatiu 2005 Tarifa Única - Extensions mòbils: 22 - Lineas Facturadas: 606033499 60623,28-L6U1-036378
2017-01-18,34.44,4,Urbanisme,,,"TELEFONICA MOVILES, SA (MOVISTAR)",Movistar - Tipus de contracte: Corporatiu 2005 Tarifa Única - Extensions mòbils: 22 - Lineas Facturadas: 606033499 60623,28-L6U1-036378
2017-01-18,18.37,4,Urbanisme,,,"TELEFONICA MOVILES, SA (MOVISTAR)",Movistar - Tipus de contracte: Corporatiu 2005 Tarifa Única - Extensions mòbils: 26 - Lineas Facturadas: 606457246 60657,28-L6U1-005243
2017-01-18,3.39,4,Urbanisme,,,"MARCTECNIC POLINYA, S. L.",10 CARTOLINES COLOR A3 TERRITORI,61905
2017-01-18,1.69,4,Urbanisme,,,"MARCTECNIC POLINYA, S. L.",5 CARTOLINES A3 TERRITORI,61903
2017-01-18,8464.1,5,Obres,,,"ETRA BONAL, S.A.","INSTAL·LACIÓ 5 COLUMNES D'ENLLUMENAT AL C/RAMONEDA, 33 (PER L'ENLLUMENAT DEL CARRER I LA NOVA PLAÇA)",16-01793
2017-01-18,8898.92,5,Obres,,,"ETRA BONAL, S.A.",SUBSTITUCIÓ LLUMENERES RAMBLA,16-01629
2017-01-18,186.92,6,Serveis municipals i via pública,,,"SERVICIOS SEMAT, S.A.",RECOLLIDA MATERIAL INSTITUT PER LA DEIXALLERIA,D 2016/D/45
2017-01-18,108.68,6,Serveis municipals i via pública,,,"SERVICIOS SEMAT, S.A.",RECOLLIDA RESIDUS BIBLIOTECA,D 2016/D/44
2017-01-18,53.9,6,Serveis municipals i via pública,,,"ECO-EQUIP, S.A.",TRANSFERÈNCIA ENVASOS NOVEMBRE 2016,2.016/TN/4.017
2017-01-18,69.64,6,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.",MANTENIMENT CLIMA OCTUBRE 2016,20000000 260300
2017-01-18,69.64,6,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.",6enaQUOTA MENSUAL NOVEMBRE CLIMA,200000000000 260340
2017-01-18,1438.03,6,Serveis municipals i via pública,,,"INTEGRACION SOCIAL DE MINUSVALIDOS, SL",Servei de conducció i manteniment del recinte del camp de futbol municipal. Mes de Novembre,626-16
2017-01-18,239.01,6,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.",MANTENIMENT CLIMA OCTUBRE 2016,20000000 260300
2017-01-18,239.01,6,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.",6enaQUOTA MENSUAL NOVEMBRE CLIMA,200000000000 260340
2017-01-18,24.09,6,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.",MANTENIMENT CLIMA OCTUBRE 2016,20000000 260300
2017-01-18,24.09,6,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.",6enaQUOTA MENSUAL NOVEMBRE CLIMA,200000000000 260340
2017-01-18,131.66,6,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.",MANTENIMENT CLIMA OCTUBRE 2016,20000000 260300
2017-01-18,131.66,6,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.",6enaQUOTA MENSUAL NOVEMBRE CLIMA,200000000000 260340
2017-01-18,66.55,7,Medi ambient,,,"SUMINISTRES INDUSTRIALS SM, S.L. ( K2)",LLOGUER NOVEMBRE MÒDUL PREFABRICAT C/ JOAN MIRÓ DEIXALLERIA,1837/16
2017-01-18,10.5,7,Medi ambient,,,"TELEFONICA MOVILES, SA (MOVISTAR)",Movistar - Tipus de contracte: Corporatiu 2005 Tarifa Única - Extensions mòbils: 22 - Lineas Facturadas: 606033499 60623,28-L6U1-036378
2017-01-18,63.53,8,Cultura,,,TELEFONICA DE ESPAÑA,Detalle de conceptos( 1 Nov. 16 - 30 Nov. 16 ) Facturacio LOT3 Novembre 2016,60K6RR011300
2017-01-18,43.48,8,Cultura,,,"MARCTECNIC POLINYA, S. L.",MATERIAL BIBLIOTECA,61906
2017-01-18,100.0,8,Cultura,,,"CARRILLO TORRAS, MERCÈ",SESSIÓ CLUB DE LA LECTURA A LA BIBLIOTECA 14/12/16,32/16
2017-01-18,375.1,8,Cultura,,,"SUMINISTRES INDUSTRIALS SM, S.L. ( K2)","LLOGUER NOVEMBRE MÒDULS PREFABRICATS C/ ESCOLES, 2 MÒDULS ENTITATS",1838/16
2017-01-18,57.6,8,Cultura,,,TELEFONICA DE ESPAÑA,Detalle de conceptos( 1 Nov. 16 - 30 Nov. 16 ) Facturacio LOT3 Novembre 2016,60K6RR011300
2017-01-18,3678.27,8,Cultura,,,SGAE - SOCIETAT GENERAL D'AUTORS I EDITORS,DRETS D'AUTOR ACTUACIONS FESTA MAJOR ESTIU 2016,3432464
2017-01-18,428.34,9,"Comunicació, participació ciutadana i qualitat democràtica",,,"ANGULO SANCHEZ, CARLOS",REPARTIMENT BUTLLETÍ 136 NOVEMBRE 2016 I TRÍPTIC POLINYÀ TAMBÉ ÉS CASA TEVA,19
2017-01-18,319.44,9,"Comunicació, participació ciutadana i qualitat democràtica",,,"ANGULO SANCHEZ, CARLOS",REPARTIMENT BUTLLETÍ 135 OCTUBRE 2016,15
2017-01-18,2916.1,9,"Comunicació, participació ciutadana i qualitat democràtica",,,"ARGOT GRÀFIC DESIGN, S.L.",BANDEROLES CAMPANYA CIVISME,16240
2017-01-18,2248.18,9,"Comunicació, participació ciutadana i qualitat democràtica",,,"ARGOT GRÀFIC DESIGN, S.L.",CAMPANYA CIVISME,16236
2017-01-18,302.5,9,"Comunicació, participació ciutadana i qualitat democràtica",,,"CANO DE ARRIBAS, JOSEP",Fotografies del pessebre vivent de Polinyà 18 desembre 2016,56/16
2017-01-18,302.5,9,"Comunicació, participació ciutadana i qualitat democràtica",,,"CANO DE ARRIBAS, JOSEP",Fotografies inauguració Pessebre de Nadal de la Gent Gran,53/16
2017-01-18,302.5,9,"Comunicació, participació ciutadana i qualitat democràtica",,,"CANO DE ARRIBAS, JOSEP",Fotografies Fira de nadal 2016 i Marató tv3,55/16
2017-01-18,201.85,9,"Comunicació, participació ciutadana i qualitat democràtica",,,"CANO DE ARRIBAS, JOSEP","Fotografies acte """"Contra la violencia de gènere"""" i fotografies Grafitti germandat",51/16
2017-01-18,161.15,9,"Comunicació, participació ciutadana i qualitat democràtica",,,"CANO DE ARRIBAS, JOSEP","Fotografies acte """"Contra la violencia de gènere"""" i fotografies Grafitti germandat",51/16
2017-01-18,302.5,9,"Comunicació, participació ciutadana i qualitat democràtica",,,"CANO DE ARRIBAS, JOSEP",Fotografies encesa Llums de nadal 2016,52/16
2017-01-18,1040.0,9,"Comunicació, participació ciutadana i qualitat democràtica",,,"IMPREMTA PAGÈS, SL",IMPRESSIÓ BUTLLETÍ NOV - DES 2016,365654
2017-01-18,936.0,9,"Comunicació, participació ciutadana i qualitat democràtica",,,"MIRADA LOCAL, SL",Redacció i disseny gràfic de la revista d'informació municipal Polinyà (desembre),407
2017-01-18,21.02,10,Joventut,,,"REPROGRAFIA INDUSTRIAL DE CATALUNYA, S.L.",CÒPIES CASAL DE JOVES MAIG 2016,16415223
2017-01-18,105.12,10,Joventut,,,TELEFONICA DE ESPAÑA,Detalle de conceptos( 1 Nov. 16 - 30 Nov. 16 ) Facturacio LOT3 Novembre 2016,60K6RR011300
2017-01-18,50.05,10,Joventut,,,TELEFONICA DE ESPAÑA,Detalle de conceptos( 1 Nov. 16 - 30 Nov. 16 ) Serveis Telefonia Novembre 2016 ( FACT. RESTA DE SERVEIS ),60K6RR011438
2017-01-18,644.0,10,Joventut,,,ASSOCIACIÓ EDUCACIÓ PER A L'ACCIÓ CRÍTICA,TEATRE EDUCATIU I TALLER AMB PARES I MARES,16063
2017-01-18,225.0,10,Joventut,,,"BUJER RUIZ, SONIA",TALLER GALETES DE NADAL AL CASAL DE JOVES,00054
2017-01-18,121.0,10,Joventut,,,"PELÁEZ IRIGARAY, ENRIC",TALLER SUSHI AL CASAL DE JOVES,01/16
2017-01-18,355.74,11,Educació,,,"SUMINISTRES INDUSTRIALS SM, S.L. ( K2)",LLOGUER NOVEMBRE MÒDULS PREFABRICATS ESCOLA POLINYÀ,1839/16
2017-01-18,10.99,11,Educació,,,"BASSO,S.A.",CÒPIES IMPRESSORA KYOCERA FS-6025 EBM GINESTA DEL 23/09/16 AL 25/11/16,2016-165864
2017-01-18,41.57,11,Educació,,,SERVICIOS MICROINFORMÁTICA S.A.,CÒPIES NOVEMBRE IMPRESSORES EBM,16 007065
2017-01-18,36.89,11,Educació,,,SERVICIOS MICROINFORMÁTICA S.A.,CÒPIES NOVEMBRE IMPRESSORES EBM,16 007065
2017-01-18,42.9,11,Educació,,,"EDEN SPRINGS ESPAÑA, SAU",AIGUA DISPENSADORS EQUIPAMENTS MPALS,75/03370325
2017-01-18,62.81,11,Educació,,,"HIPER ESCOLA GIRONA, S.L.",Ràdio CD Daewoo DBU-51 EBM,1089
2017-01-18,10.85,11,Educació,,,"ILBA,S.L.",AIGUA EBM GINESTA,0400001180
2017-01-18,8.17,11,Educació,,,"MARCTECNIC POLINYA, S. L.",LLIBRE EBM GINESTA,61904
2017-01-18,5.71,11,Educació,,,TELEFONICA DE ESPAÑA,Detalle de conceptos( 1 Nov. 16 - 30 Nov. 16 ) Facturacio LOT3 Novembre 2016,60K6RR011300
2017-01-18,4.3,11,Educació,,,"TELEFONICA MOVILES, SA (MOVISTAR)",ESCOLA BRESSOL BADABDADOC Contracte M2M GPRS Pimes - Nº de linies: 1 - Lineas Facturadas: 630646715 -,28-L6M0-704574
2017-01-18,19.06,11,Educació,,,"ANGULO SANCHEZ, CARLOS",ENGANXADA CARTELLS CASAL DE NADAL PER A INFANTS,17
2017-01-18,207.5,11,Educació,,,"NEGRO, SABINA PAOLA",CONFERÈNCIA: EM SENTO CAPAÇ! A L'ESCOLA PERE CALDERS,1
2017-01-18,243.71,12,Àrea d'atenció a les persones,,,"EQUIPS D'OFICINA SALVANS, S.L.",CÒPIES MÀQUINA 6027 ANT: 42086 ACT: 55560 UBI: ATENCIÓ A LES PERSONES / 6027 ANT: 19192 ACT: 27746,2016-06924
2017-01-18,206.59,12,Àrea d'atenció a les persones,,,"EQUIPS D'OFICINA SALVANS, S.L.",CÒPIES MÀQUINA 6027 ANT: 42086 ACT: 55560 UBI: ATENCIÓ A LES PERSONES / 6027 ANT: 19192 ACT: 27746,2016-06924
2017-01-18,21.45,12,Àrea d'atenció a les persones,,,"EDEN SPRINGS ESPAÑA, SAU",AIGUA DISPENSADORS EQUIPAMENTS MPALS,75/03370325
2017-01-18,37.78,12,Àrea d'atenció a les persones,,,"TELEFONICA MOVILES, SA (MOVISTAR)",Movistar - Tipus de contracte: Corporatiu 2005 Tarifa Única - Extensions mòbils: 22 - Lineas Facturadas: 606033499 60623,28-L6U1-036378
2017-01-18,26.73,12,Àrea d'atenció a les persones,,,"TELEFONICA MOVILES, SA (MOVISTAR)",Movistar - Tipus de contracte: Corporatiu 2005 Tarifa Única - Extensions mòbils: 26 - Lineas Facturadas: 606457246 60657,28-L6U1-005243
2017-01-18,4.09,12,Àrea d'atenció a les persones,,,"VODAFONE ESPAÑA, SAU",CONSUM TELEFONS FIXOS DE NOVEMBRE 2016,CI0864301185
2017-01-18,21.45,12,Àrea d'atenció a les persones,,,"EDEN SPRINGS ESPAÑA, SAU",AIGUA DISPENSADORS EQUIPAMENTS MPALS,75/03370325
2017-01-18,72.0,12,Àrea d'atenció a les persones,,,TELEFONICA DE ESPAÑA,Detalle de conceptos( 1 Nov. 16 - 30 Nov. 16 ) Facturacio LOT3 Novembre 2016,60K6RR011300
2017-01-18,8.47,12,Àrea d'atenció a les persones,,,"TELEFONICA MOVILES, SA (MOVISTAR)",Movistar - Tipus de contracte: Corporatiu 2005 Tarifa Única - Extensions mòbils: 26 - Lineas Facturadas: 606457246 60657,28-L6U1-005243
2017-01-18,24.72,12,Àrea d'atenció a les persones,,,"VODAFONE ESPAÑA, SAU",CONSUM TELEFONS FIXOS DE NOVEMBRE 2016,CI0864301185
2017-01-18,91.96,13,Esports,,,"FRUITÓS PIQUÉ, GEMMA - GIM GEMMA",TALLER MOVILITAT FUNCIONAL DESEMBRE 2016,46
2017-01-18,309.76,13,Esports,,,"SUMINISTRES INDUSTRIALS SM, S.L. ( K2)",LLOGUER DESEMBRE MÒDUL PREFABRICAT PISTA PATINATGE,2028/16
2017-01-18,108.78,13,Esports,,,TELEFONICA DE ESPAÑA,Detalle de conceptos( 1 Nov. 16 - 30 Nov. 16 ) Facturacio LOT3 Novembre 2016,60K6RR011300
2017-01-18,105.0,13,Esports,,,TELEFONICA DE ESPAÑA,Detalle de conceptos( 1 Nov. 16 - 30 Nov. 16 ) Serveis Telefonia Novembre 2016 ( FACT. RESTA DE SERVEIS ),60K6RR011438
2017-01-18,13.02,13,Esports,,,"TELEFONICA MOVILES, SA (MOVISTAR)",Movistar - Tipus de contracte: Corporatiu 2005 Tarifa Única - Extensions mòbils: 26 - Lineas Facturadas: 606457246 60657,28-L6U1-005243
2017-01-18,794.93,13,Esports,,,"INTEGRACION SOCIAL DE MINUSVALIDOS, SL",Servei de conducció i manteniment del recinte del camp de futbol municipal. Mes de Novembre,626-16
2017-01-18,7.74,15,Salut i consum ,,,"GUANTES BASPIN, S.L.",VESTUARI AGENTS CÍVICS,03890/16
2017-01-18,163.1,15,Salut i consum ,,,"SERVICIOS SEMAT, S.A.",NETEJA EXTRA PER LA FESTA DE MASCOTES,D 2016/D/43
2017-01-18,619.23,15,Salut i consum ,,,"ANTICIMEX 3D SANIDAD AMBIENTAL, SA","CLAVEGUERAM, DESRATITZACIÓ I DESINSECTACIÓ NOVEMBRE 2016",FA120716
2017-01-18,619.23,15,Salut i consum ,,,"ANTICIMEX 3D SANIDAD AMBIENTAL, SA",DESINSECTACIÓ I DESRATITZACIÓ EDIFICIS MPALS OCTUBRE 2016,FA115918
2017-01-18,28.1,15,Salut i consum ,,,"ANTICIMEX 3D SANIDAD AMBIENTAL, SA",DESINSECTACIÓ I DESRATITZACIÓ CAN GAVARRA NOVEMBRE 2016,FA120717
2017-01-18,28.1,15,Salut i consum ,,,"ANTICIMEX 3D SANIDAD AMBIENTAL, SA",DESINSECTACIÓ I DESRATITZACIÓ CAN GAVARRA OCTUBRE 2016,FA115919
2017-01-18,363.0,15,Salut i consum ,,,ASSOCIACIO OLESCAN,SERVEI DE RECOLLIDA D'UN GOS,NF195
2017-01-18,120.0,15,Salut i consum ,,,CLÍNICA VETERINARIA MOVET SLP,VISITA D'URGÈNCIA A DOMICILI GOS,S-2005/147280
2017-01-18,191.18,15,Salut i consum ,,,HELP-GUAU,Servei de recollida i acollida d'animals de companyia  abandonats  a la via pública. Novembre de 2016.,A 16186
2017-01-18,235.55,15,Salut i consum ,,,"SERVICIOS SEMAT, S.A.",RECOLLIDA TANCA REFUGI DE GATS,D 2016/D/42
2017-01-18,1190.0,16,Serveis socials,,,"BALLESTER FRAGO, MARTA",DIAGNOSI I ESTUDI DELS AGENTS DEL MUNICIPI,2016/10
2017-01-18,1190.0,16,Serveis socials,,,"FERNÁNDEZ DE LARREA, ROBERTO PESCADOR",DIAGNOSI I OBSERVACIÓ DE L'ESPAI PÚBLIC I RECORREGUTS,2016/1
2017-01-18,1190.0,16,Serveis socials,,,"JIMÉNEZ GONZALEZ, JOSE I",DIAGNOSI I ESTUDI DE GRUPS I JOVES,2016/01
2017-01-18,808.25,16,Serveis socials,,,"TELEVIDA SERVICIO SOCIOSANITARIO, S.L.",SERVEI TELEASSISTÈNCIA DOMICILIARIA NOVEMBRE 2016,FC-022057
2017-01-18,825.96,16,Serveis socials,,,"ABACUS, S.COOP.C.L.",JOGUINES,9030190903
2017-01-18,58.0,16,Serveis socials,,,"ARES ESPAI DE CUINA I MENJADOR, S.L.",AJUT EXTRAESCOLARS ALUMNES ESCOLA PERE CALDERS NOVEMBRE 2016,MJ160A001856
2017-01-18,184.89,16,Serveis socials,,,"ENDERMAR COLECTIVIDADES, SL",MENÚS ESCOLA ROSER CAPDEVILA NOVEMBRE 2016,160565
2017-01-18,205.7,16,Serveis socials,,,"TRANSMARQUES, S.A.",TRANSPORT REBOST SOLIDARI,101/16929
2017-01-18,4400.0,17,Ocupació,,,"FEMAREC, SCCL",CURS: Comptabilitat pràctica informatitzada / FPB2016 / DATA INICI: 2/11/2016 / DATA FINAL: 2/12/2016,92390
2017-01-18,169.4,18,Serveis de manteniment d'edificis i inversions,,,"ALARCÓN ANAYA, RAFAEL - CERRAJERIA ANAYA",REPARACIÓ BARANA PONT CAN SERRA,16035
2017-01-18,157.3,18,Serveis de manteniment d'edificis i inversions,,,"ALARCÓN ANAYA, RAFAEL - CERRAJERIA ANAYA",REPARACIÓ BARANA PONT CAN SERRA,16035
2017-01-18,1447.46,18,Serveis de manteniment d'edificis i inversions,,,"MARSAL EXCAVACIONS, S.L.",Obres de reparació de les escales al Passatge Federico Garcia Lorca.,16254
2017-01-18,1089.0,18,Serveis de manteniment d'edificis i inversions,,,"MARSAL EXCAVACIONS, S.L.",Instal.lació de tanca de fusta al C/Migdia de Serra Maurina.,16255
2017-01-18,493.45,18,Serveis de manteniment d'edificis i inversions,,,"PROCEDIMIENTO DE ASEO URBANO PAU, S.A.",Treballs per la instalació de malla antiarrels,p 00021
2017-01-18,387.2,18,Serveis de manteniment d'edificis i inversions,,,"ALARCÓN ANAYA, RAFAEL - CERRAJERIA ANAYA",REPARACIÓ CARTELL,16042
2017-01-18,33724.66,18,Serveis de manteniment d'edificis i inversions,,,"COPAVI Obres i Serveis, S.L.",Obra: VORERES DE FORMIGÓ C/ PINTOR SERT,Emit- 500
2017-01-18,747.24,18,Serveis de manteniment d'edificis i inversions,,,"COPAVI Obres i Serveis, S.L.",Obra: VORERES DE FORMIGÓ C/ PINTOR SERT,Emit- 500
2017-01-18,100.1,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC DEIXALLERIA DEL 21/09/16 AL 15/11/16,082020772611 0213 P1M601N1742242
2017-01-18,41.26,18,Serveis de manteniment d'edificis i inversions,,,TELEFONICA DE ESPAÑA,Detalle de conceptos( 1 Nov. 16 - 30 Nov. 16 ) Facturacio LOT3 Novembre 2016,60K6RR011300
2017-01-18,2974.18,18,Serveis de manteniment d'edificis i inversions,,,"MARSAL EXCAVACIONS, S.L.",APORTACIÓ DE TOT-Ú PER ANIVELLAR APARCAMENT EXTERIOR CEMENTIRI,16250
2017-01-18,22.51,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA XXI, S.L.U.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 13/10/16 AL 11/11/16,040018965934 0242 S1M601N1055406
2017-01-18,850.04,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 30/09/16 AL 30/11/16,082020769480 0285 P1M601N1815450
2017-01-18,18.26,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 29/11/16 AL 02/12/16,082020698411 0293 P1M601N1852866
2017-01-18,63.27,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 28/11/16 AL 01/12/16,999435539298 0641 P1M601N1839574
2017-01-18,353.37,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 29/09/16 AL 28/11/16,082020755864 0285 P1M601N1809828
2017-01-18,1083.07,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 08/09/16 AL 10/11/16,999435538729 0320 P1M601N1720037
2017-01-18,909.33,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 21/09/16 AL 11/11/16,999435539891 0466 P1M601N1733985
2017-01-18,161.11,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 30/09/16 AL 30/11/16,082020804366 0270 P1M601N1815452
2017-01-18,556.9,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 20/09/16 AL 15/11/16,082020759966 0209 P1M601N1742241
2017-01-18,502.74,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 20/09/16 AL 15/11/16,082020696511 0228 P1M601N1742239
2017-01-18,687.03,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 27/10/16 AL 28/11/16,999435532881 0753 P1M601N1807686
